GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practico4-2023,set,Set,349,0,60,0,84,0,43,0,13,0
practico4-2023,listas,ListaSobreArreglos,29,234,4,34,7,50,5,26,1,11
